INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	ÐòºÅ	È¨ÖØ	Ãû×Ö	½ÇÉ«ID	ÌåÐÍ	ÉúÃü	¹¥»÷	·ÀÓù	¹¥»÷¾àÀë	¹¥ËÙ	ÒÆËÙ	±»¶¯	¼¼ÄÜ1	¼¼ÄÜ2	¼¼ÄÜ3
1	1	100	¿á¿á	1001		500	150	10	30000	20000	30000		100101		
2	1	100	ÄÝÄÝ	1002		500	150	10	30000	20000	30000		100101		
3	1	100	Ð¡Àê	1003		500	150	10	30000	20000	30000		100101		
4	1	100	ä½ä½	1004		500	150	10	30000	20000	30000		100101		
5	1	100	Å£Å£	1005		500	150	10	30000	20000	30000		100101		
6	1	100	ß÷½´	1006		500	150	10	30000	20000	30000		100101		
7	1	100	ÀÖÀÖ	1007		500	150	10	30000	20000	30000		100101		
8	1	100	Ñ©¶ù	1008		500	150	10	30000	20000	30000		100101		
9	2	100	¿á¿á	1001		750	180	12	35000	17500	30000		100101		
10	2	100	ÄÝÄÝ	1002		750	180	12	35000	17500	30000		100101		
11	2	100	Ð¡Àê	1003		750	180	12	35000	17500	30000		100101		
12	2	100	ä½ä½	1004		750	180	12	35000	17500	30000		100101		
13	2	100	Å£Å£	1005		750	180	12	35000	17500	30000		100101		
14	2	100	ß÷½´	1006		750	180	12	35000	17500	30000		100101		
15	2	100	ÀÖÀÖ	1007		750	180	12	35000	17500	30000		100101		
16	2	100	Ñ©¶ù	1008		750	180	12	35000	17500	30000		100101		
17	3	100	¿á¿á	1001		1000	200	14	40000	15000	35000		100101		
18	3	100	ÄÝÄÝ	1002		1000	200	14	40000	15000	35000		100101		
19	3	100	Ð¡Àê	1003		1000	200	14	40000	15000	35000		100101		
20	3	100	ä½ä½	1004		wo	200	14	40000	15000	35000		100101		
21	3	100	Å£Å£	1005		1000	200	14	40000	15000	35000		100101		
22	3	100	ß÷½´	1006		1000	200	14	40000	15000	35000		100101		
