INT	INT	STRING	INT	STRING	INT	STRING	INT
id	天赋ID	天赋名	技能ID	技能名字	技能ID	技能名字	权重
1	1	攻击	200201	冰霜球	200301	雷电球	10
2	1	攻击	200201	冰霜球	200401	大雪球	10
3	1	攻击	200201	冰霜球	200501	墨水球	10
4	1	攻击	200201	冰霜球	200601	恶魔球	10
5	1	攻击	200201	冰霜球	200701	暴风雪	10
6	1	攻击	200201	冰霜球	200801	龙卷风	10
7	1	攻击	200201	冰霜球	200901	陨石球	2
8	1	攻击	200201	冰霜球	201001	烈性炸药	10
9	1	攻击	200201	冰霜球	201101	隐身斗篷	10
10	1	攻击	200301	雷电球	200201	冰霜球	10
11	1	攻击	200301	雷电球	200401	大雪球	10
12	1	攻击	200301	雷电球	200501	墨水球	10
13	1	攻击	200301	雷电球	200601	恶魔球	10
14	1	攻击	200301	雷电球	200701	暴风雪	10
15	1	攻击	200301	雷电球	200801	龙卷风	10
16	1	攻击	200301	雷电球	200901	陨石球	1
17	1	攻击	200301	雷电球	201001	烈性炸药	10
18	1	攻击	200301	雷电球	201101	隐身斗篷	10
19	1	攻击	200401	大雪球	200201	冰霜球	10
20	1	攻击	200401	大雪球	200301	雷电球	10
21	1	攻击	200401	大雪球	200501	墨水球	10
22	1	攻击	200401	大雪球	200601	恶魔球	10
23	1	攻击	200401	大雪球	200701	暴风雪	10
24	1	攻击	200401	大雪球	200801	龙卷风	10
25	1	攻击	200401	大雪球	200901	陨石球	10
26	1	攻击	200401	大雪球	201001	烈性炸药	10
27	1	攻击	200401	大雪球	201101	隐身斗篷	10
28	1	攻击	200501	墨水球	200201	冰霜球	10
29	1	攻击	200501	墨水球	200301	雷电球	10
30	1	攻击	200501	墨水球	200401	大雪球	10
31	1	攻击	200501	墨水球	200601	恶魔球	10
32	1	攻击	200501	墨水球	200701	暴风雪	10
33	1	攻击	200501	墨水球	200801	龙卷风	10
34	1	攻击	200501	墨水球	200901	陨石球	10
35	1	攻击	200501	墨水球	201001	烈性炸药	10
36	1	攻击	200501	墨水球	201101	隐身斗篷	10
37	1	攻击	200601	恶魔球	200201	冰霜球	10
38	1	攻击	200601	恶魔球	200301	雷电球	10
39	1	攻击	200601	恶魔球	200401	大雪球	10
40	1	攻击	200601	恶魔球	200501	墨水球	10
41	1	攻击	200601	恶魔球	200701	暴风雪	10
