STRING	STRING	STRING
国家/地区	省份	市
中国	北京	东城区
中国	北京	西城区
中国	北京	崇文区
中国	北京	宣武区
中国	北京	朝阳区
中国	北京	丰台区
中国	北京	石景山区
中国	北京	海淀区门
中国	北京	头沟区
中国	北京	房山区
中国	北京	通州区
中国	北京	顺义区
中国	北京	昌平区
中国	北京	大兴区
中国	北京	怀柔区
中国	北京	平谷区
中国	北京	密云县
中国	北京	延庆县
中国	上海	黄浦区
中国	上海	徐汇区
中国	上海	长宁区
中国	上海	静安区
中国	上海	普陀区
中国	上海	闸北区
中国	上海	虹口区
中国	上海	杨浦区
中国	上海	闵行区
中国	上海	宝山区
中国	上海	嘉定区
中国	上海	浦东新区
中国	上海	金山区
中国	上海	松江区
中国	上海	青浦区
中国	上海	南汇区
中国	上海	奉贤区
中国	上海	崇明县
中国	天津	和平区
中国	天津	河东区
中国	天津	河西区
中国	天津	南开区
中国	天津	河北区
中国	天津	红桥区
中国	天津	塘沽区
中国	天津	汉沽区
中国	天津	大港区
中国	天津	东丽区
中国	天津	西青区
中国	天津	津南区
中国	天津	北辰区
中国	天津	武清区
中国	天津	宝坻区
中国	天津	宁河县
中国	天津	静海县
中国	天津	蓟县
中国	重庆	万州区
中国	重庆	涪陵区
中国	重庆	渝中区
中国	重庆	大渡口
中国	重庆	区江北区
中国	重庆	沙坪坝区
中国	重庆	九龙坡区
中国	重庆	南岸区
中国	重庆	北碚区
中国	重庆	万盛区
中国	重庆	双桥区
中国	重庆	渝北区
中国	重庆	巴南区
中国	重庆	黔江区
中国	重庆	长寿区
中国	重庆	江津区
中国	重庆	合川区
中国	重庆	永川区
中国	重庆	南川区
中国	重庆	綦江县
中国	重庆	潼南县
中国	重庆	铜梁县
中国	重庆	大足县
中国	重庆	荣昌县
中国	重庆	璧山县
中国	重庆	梁平县
中国	重庆	城口县
中国	重庆	丰都县
中国	重庆	垫江县
中国	重庆	武隆县
中国	重庆	忠县
中国	重庆	开县
中国	重庆	云阳县
中国	重庆	奉节县
中国	重庆	巫山县
中国	重庆	巫溪县
中国	重庆	石柱土家族自治县
中国	重庆	秀山土家族苗族自治县
中国	重庆	酉阳土家族苗族自治县
中国	重庆	彭水苗族土家族自治县
中国	黑龙江	哈尔滨市
中国	黑龙江	齐齐哈尔市
中国	黑龙江	鸡西市
中国	黑龙江	鹤岗市
中国	黑龙江	双鸭山市
中国	黑龙江	大庆市
中国	黑龙江	伊春市
中国	黑龙江	佳木斯市
中国	黑龙江	七台河市
中国	黑龙江	牡丹江市
中国	黑龙江	黑河市
中国	黑龙江	绥化市
中国	黑龙江	大兴安岭地区
中国	吉林	长春市
中国	吉林	吉林市
中国	吉林	四平市
中国	吉林	辽源市
中国	吉林	通化市
中国	吉林	白山市
中国	吉林	松原市
中国	吉林	白城市
中国	吉林	延边朝鲜族自治州
中国	辽宁	沈阳市
中国	辽宁	大连市
中国	辽宁	鞍山市
中国	辽宁	抚顺市
中国	辽宁	本溪市
中国	辽宁	丹东市
中国	辽宁	锦州市
中国	辽宁	营口市
中国	辽宁	阜新市
中国	辽宁	辽阳市
中国	辽宁	盘锦市
中国	辽宁	铁岭市
中国	辽宁	朝阳市
中国	辽宁	葫芦岛市
中国	山东	济南市
中国	山东	青岛市
中国	山东	淄博市
中国	山东	枣庄市
中国	山东	东营市
中国	山东	烟台市
中国	山东	潍坊市
中国	山东	济宁市
中国	山东	泰安市
中国	山东	威海市
中国	山东	日照市
中国	山东	莱芜市
中国	山东	临沂市
中国	山东	德州市
中国	山东	聊城市
中国	山东	滨州市
中国	山东	菏泽市
中国	山西	太原市
中国	山西	大同市
中国	山西	阳泉市
中国	山西	长治市
中国	山西	晋城市
中国	山西	朔州市
中国	山西	晋中市
中国	山西	运城市
中国	山西	忻州市
中国	山西	临汾市
中国	山西	吕梁市
中国	陕西	西安市
中国	陕西	铜川市
中国	陕西	宝鸡市
中国	陕西	咸阳市
中国	陕西	渭南市
中国	陕西	延安市
中国	陕西	汉中市
