INT	STRING	STRING	STRING	INT	INT	INT
ID	属性说明	属性描述	属性描述lang	异常状态	ICON1	ICON2
1	生命	生命 +{N1}	t_battle_attr_desc_1			
2	生命百分比	生命 +{N1}%	t_battle_attr_desc_2			
3	攻击	攻击 +{N1}	t_battle_attr_desc_3			
4	攻击百分比	攻击 +{N1}%	t_battle_attr_desc_4			
5	防御	防御 +{N1}	t_battle_attr_desc_5			
6	防御百分比	防御 +{N1}%	t_battle_attr_desc_6			
7	移速	移速 +{N1}	t_battle_attr_desc_7			
8	移速百分比	移速 +{N1}%	t_battle_attr_desc_8	2	js_01	js_02
9	暴击百分比	暴击率 +{N1}%	t_battle_attr_desc_9			
10	每秒回血	每秒回复生命 +{N1}	t_battle_attr_desc_10			
11	每秒回血百分比	每秒回复生命 +{N1}%	t_battle_attr_desc_11			
12	射程	普通雪球射程 +{N1}	t_battle_attr_desc_12			
13	射程百分比	普通雪球射程 +{N1}%	t_battle_attr_desc_13			
14	增伤百分比	对敌人造成伤害 +{N1}%	t_battle_attr_desc_14			
15	减伤百分比	伤害减免 +{N1}%	t_battle_attr_desc_15			
16	技能增伤百分比	技能伤害增加 +{N1}%	t_battle_attr_desc_16			
17	技能减伤百分比	对技能减伤 +{N1}%	t_battle_attr_desc_17			
18	无视防御概率	无视防御概率 +{N1}%	t_battle_attr_desc_18			
19	杀敌回血	击杀回复生命 +{N1}	t_battle_attr_desc_19			
20	杀敌回血百分比	击杀回复生命 +{N1}%	t_battle_attr_desc_20			
21	免疫负面buff概率	免疫控制概率 +{N1}%	t_battle_attr_desc_21			
22	免疫普攻概率	免疫普攻概率 +{N1}%	t_battle_attr_desc_22			
23	技能冷却减少百分比	技能冷却时间减少 +{N1}%	t_battle_attr_desc_23			
24	变雪人冷却减少百分比	变雪人冷却时间减少 +{N1}%	t_battle_attr_desc_24			
25	buff时间延长百分比	控制敌人时间延长 +{N1}%	t_battle_attr_desc_25			
26	释放技能回血	释放技能回复生命 +{N1}	t_battle_attr_desc_26			
27	释放技能回满血概率	释放技能回复至满生命值概率 +{N1}%	t_battle_attr_desc_27			
28	技能冷却期间减伤百分比	技能冷却期间减伤 +{N1}%	t_battle_attr_desc_28			
29	技能命中反弹百分比	对技能释放者反弹伤害 +{N1}%	t_battle_attr_desc_29			
30	释放技能不计算冷却概率	释放技能免除冷却概率 +{N1}%	t_battle_attr_desc_30			
31	拾取水晶额外增加积分	拾取水晶额外积分 +{N1}	t_battle_attr_desc_31			
32	拾取水晶额外增加积分百分比	拾取水晶额外积分 +{N1}%	t_battle_attr_desc_32			
