INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
等级	账号经验	奖励1	value1	value2	value3	奖励2	value1	value2	value3	奖励3	value1	value2	value3	taskID	taskID	taskID	type1	value1	value2	value3	type2	value1	value2	value3	type3	value1	value2	value3	type4	value1	value2	value3	type5	value1	value2	value3	type6	value1	value2	value3	type7	value1	value2	value3
1	0													101			3	8		2000																								
2	50	1	4	4		1	2	5						201			3	8		2100	3	1		1																				
3	75	2	30010006	1		1	2	5						301			3	8		2200	3	1		1																				
4	100	1	4	4		1	2	5						401			3	8		2300	3	1		1																				
5	125	2	30010003	1		1	2	5						501			3	8		2400	3	1		1																				
6	150	1	4	4		1	2	5						601			3	8		2500	3	1		1																				
7	175	2	30010003	1		1	2	5						701			3	8		2600	3	1		1																				
8	200	1	4	4		1	2	5						801			3	8		2700	3	1		1																				
9	225	2	30010003	1		1	2	5						901			3	8		2800	3	1		1																				
10	250	1	4	6		1	2	10						1001	1002		3	8		2900	3	1		1																				
11	275	2	30010004	1		1	2	10						1101			3	8		3000	3	1		2	3	2		1																
12	305	1	4	6		1	2	10						1201	1202		3	8		3100	3	1		2	3	2		1																
13	335	2	30010004	1		1	2	10						1301			3	8		3200	3	1		2	3	2		1																
14	365	1	4	6		1	2	10						1401	1402		3	8		3300	3	1		2	3	2		1																
15	395	2	30010004	1		1	2	10						1501			3	8		3400	3	1		2	3	2		1																
16	425	1	4	6		1	2	10						1601	1602		3	8		3500	3	1		2	3	2		1																
17	455	2	30010004	1		1	2	10						1701			3	8		3600	3	1		2	3	2		1																
18	485	1	4	6		1	2	10						1801	1802		3	8		3700	3	1		2	3	2		1																
19	515	2	30010004	1		1	2	10						1901			3	8		3800	3	1		2	3	2		1																
20	545	1	4	8		1	2	15						2001	2002		3	8		3900	3	1		2	3	2		1																
21	575	2	30010004	1		1	2	15						2101			3	8		4000	3	1		3	3	2		2	3	7		1												
22	610	1	4	8		1	2	15						2201	2202		3	8		4100	3	1		3	3	2		2	3	7		1												
23	645	2	30010004	1		1	2	15						2301			3	8		4200	3	1		3	3	2		2	3	7		1												
24	680	1	4	8		1	2	15						2401	2402		3	8		4300	3	1		3	3	2		2	3	7		1												
25	715	2	30010004	1		1	2	15						2501			3	8		4400	3	1		3	3	2		2	3	7		1												
26	750	1	4	8		1	2	15						2601	2602		3	8		4500	3	1		3	3	2		2	3	7		1												
27	785	2	30010004	1		1	2	15						2701			3	8		4600	3	1		3	3	2		2	3	7		1												
28	820	1	4	8		1	2	15						2801	2802		3	8		4700	3	1		3	3	2		2	3	7		1												
29	855	2	30010004	1		1	2	15						2901			3	8		4800	3	1		3	3	2		2	3	7		1												
30	890	1	4	8		1	2	20						3001	3002		3	8		4900	3	1		3	3	2		2	3	7		1												
31	925	2	30010004	1		1	2	20						3101			3	8		5000	3	1		4	3	2		3	3	7		2												
32	965	1	4	8		1	2	20						3201	3202		3	8		5100	3	1		4	3	2		3	3	7		2												
33	1005	2	30010004	1		1	2	20						3301			3	8		5200	3	1		4	3	2		3	3	7		2												
34	1045	1	4	8		1	2	20						3401	3402		3	8		5300	3	1		4	3	2		3	3	7		2												
