INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
序号	礼包名	类型 1固定奖励 2随机奖励 3选择奖励	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type 1资源 2道具 3角色卡 4头像框	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate	type	value1	value2	value3	rate
1001	首充奖励	1	3	2006	1			1	1	1000			1	2	50			2	50010001	2			2	50010002	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
1002	月卡奖励	1	6	201	1			3	3005	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
1003	年卡奖励	1	6	202	1			3	3005	1			3	3006	1			7	3501	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
2001	契约礼包	1	2	20010001	1			2	20010002	1			2	20010003	1			2	20010004	1			2	20010005	1			2	20010006	1			2	20010007	1			2	20010008	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
2002	普通角色礼包	1	1001	1	1			1001	1	1			1001	1	1			1001	1	1			1001	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
2003	稀有角色礼包	1	1001	2	1			1001	2	1			1001	2	1			1001	2	1			1001	2	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
2004	史诗角色礼包	1	1001	3	1			1001	3	1			1001	3	1			1001	3	1			1001	3	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
2005	随机契约	2	2	20010001	1		10	2	20010002	1		10	2	20010003	1		10	2	20010004	1		10	2	20010005	1		10	2	20010006	1		10	2	20010007	1		10	2	20010008	1		10	2	20010009	1		10	2	20010010	1		10																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
2006	随机稀有皮肤	2	7	1002	1		10	7	1003	1		10	7	1004	1		10	7	1005	1		10	7	1006	1		10	7	1007	1		10	7	1008	1		10	7	2001	1		10	7	2002	1		10	7	2003	1		10	7	3001	1		10	7	3002	1		10	7	3003	1		10	7	3004	1		10	7	3005	1		10	7	3006	1		10	7	3007	1		10	7	3008	1		10	7	3009	1		10	7	3010	1		10																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
