INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	name	name	类型 1小 2中 3大	角色id	scale	视野半径	提供得分	最大倍率	最大距离	技能id	静止概率	静止最小时间	静止最大时间	item2爆出数量	item2爆出概率
2001	小豆豆	t_penguin_name_2001	1	201	50	30000	100	1	20000		70	0	1		
2002	小豆豆	t_penguin_name_2002	1	202	50	30000	100	1	20000		70	0	1		
2003	小豆豆	t_penguin_name_2003	1	203	50	30000	100	1	20000		70	0	1		
2004	小豆豆	t_penguin_name_2004	1	204	50	30000	100	1	20000		70	0	1		
2005	小豆豆	t_penguin_name_2005	1	205	50	30000	100	1	20000		70	0	1		
2006	豆豆	t_penguin_name_2006	2	206	65	50000	200	2	20000	500101	80	1	2		
2007	豆豆	t_penguin_name_2007	2	207	65	50000	200	2	20000	500101	80	1	2		
2008	豆豆	t_penguin_name_2008	2	208	65	50000	200	2	20000	500101	80	1	2		
2009	豆豆	t_penguin_name_2009	2	209	65	50000	200	2	20000	500101	80	1	2		
2010	豆豆	t_penguin_name_2010	2	210	65	50000	200	2	20000	500101	80	1	2		
2011	大豆豆	t_penguin_name_2011	3	211	80	50000	300	2	20000	500101	90	1	3	1	30
2012	大豆豆	t_penguin_name_2012	3	212	80	50000	300	2	20000	500101	90	1	3	1	30
2013	大豆豆	t_penguin_name_2013	3	213	80	50000	300	2	20000	500101	90	1	3	1	30
2014	大豆豆	t_penguin_name_2014	3	214	80	50000	300	2	20000	500101	90	1	3	1	30
2015	大豆豆	t_penguin_name_2015	3	215	80	50000	300	2	20000	500101	90	1	3	1	30
