INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT
商品id	商品类型 1角色碎片 2道具 3雪球皮肤 4蓄力特效  5宝箱	type	value1	value2	value3	道具名字	货币类型 0无意义 1金币 2钻石 5战魂	价格	icon	color	前置商品
2001	2	2	50010001	1	0	大喇叭	2	50	lt_dalaba4	2	
2002	2	2	50010002	1	0	改名卡	2	300	gmk	2	
1001	1	3	3001	1	0	吕布	2	888	ic_m001	3	9999
1002	1	3	3002	1	0	貂蝉	2	888	ic_f006	3	9999
1003	1	3	3003	1	0	孙悟空	2	888	ic_m006	3	9999
1004	1	3	3004	1	0	紫霞	2	888	ic_f009	3	9999
1005	1	3	2003	1	0	嫦娥	2	488	ic_f008	2	9999
1006	1	3	2004	1	0	周瑜	2	488	ic_m007	2	9999
1007	1	3	2005	1	0	武则天	2	488	ic_f007	2	9999
1501	1	2	10013001	1	0	吕布碎片	1	200	ic_m001	3	9999
1502	1	2	10013002	1	0	貂蝉碎片	1	200	ic_f006	3	9999
1503	1	2	10013003	1	0	孙悟空碎片	1	200	ic_m006	3	9999
1504	1	2	10013004	1	0	紫霞碎片	1	200	ic_f009	3	9999
1505	1	2	10013005	1	0	冷风碎片	1	200	ic_m010	3	9999
1506	1	2	10013006	1	0	龙儿碎片	1	200	ic_m011	3	9999
1507	1	2	10012001	1	0	甄姬碎片	1	100	ic_f001	2	9999
1508	1	2	10012002	1	0	黄盖碎片	1	100	ic_m008	2	
1509	1	2	10012003	1	0	嫦娥碎片	1	100	ic_f008	2	
1510	1	2	10012004	1	0	周瑜碎片	1	100	ic_m007	2	9999
1511	1	2	10012005	1	0	武则天碎片	1	100	ic_f007	2	9999
1512	1	2	10012006	1	0	驼驼碎片	1	100	ic_m009	2	
1513	1	2	10011001	1	0	酷酷碎片	1	50	ic_m002	1	
1514	1	2	10011002	1	0	妮妮碎片	1	50	ic_f002	1	
1515	1	2	10011003	1	0	小狸碎片	1	50	ic_m003	1	
1516	1	2	10011004	1	0	浣浣碎片	1	50	ic_f003	1	
1517	1	2	10011005	1	0	牛牛碎片	1	50	ic_m004	1	
1518	1	2	10011006	1	0	喵酱碎片	1	50	ic_f004	1	
1519	1	2	10011007	1	0	乐乐碎片	1	50	ic_m005	1	
1520	1	2	10011008	1	0	雪儿碎片	1	50	ic_f005	1	
7001	3	7	1002	0	0	骨头	4	300	xqpf_gt	2	
7002	3	7	1003	0	0	酒瓶	4	300	xqpf_jp	2	
7003	3	7	1004	0	0	板砖	4	300	xqpf_zt	2	9999
7004	3	7	1005	0	0	小丑鱼	4	300	xqpf_xcy	2	
7005	3	7	1006	0	0	河豚	4	300	xqpf_hty	2	9999
7006	3	7	1007	0	0	能量球	4	300	xqpf_ccq	2	9999
7007	3	7	1008	0	0	人字拖	4	300	xqpf_tx	2	9999
7008	3	7	1009	0	0	苹果	4	300	xqpf_apple	2	9999
7009	3	7	1010	0	0	包子	4	300	xqpf_baozi	2	9999
7010	3	7	1501	0	0	手里剑	4	500	xqpf_slb	3	9999
7011	3	7	1502	0	0	闪电	4	500	xqpf_sd	3	9999
7012	3	7	1503	0	0	章鱼	4	500	xqpf_zy	3	9999
7013	3	7	1504	0	0	火焰恶魔	4	500	xqpf_emo	3	9999
7014	3	7	1505	0	0	S7	4	500	xqpf_s7	3	9999
7015	3	7	2001	0	0	业火	4	300	txpf_001	2	9999
7016	3	7	2002	0	0	五芒星	4	300	txpf_002	2	
7017	3	7	2003	0	0	惊雷	4	300	txpf_003	2	9999
7018	3	7	3001	0	0	雪炮-竹筒	4	300	sp_ic003	2	
7019	3	7	3002	0	0	雪炮-鲨鱼	4	300	sp_ic004	2	9999
7020	3	7	3003	0	0	雪炮-尖叫鸡	4	300	sp_ic005	2	9999
7021	3	7	3004	0	0	雪炮-马桶吸	4	300	sp_ic006	2	
7022	3	7	3005	0	0	雪炮-铠甲炮	4	300	sp_ic007	2	
7023	3	7	3006	0	0	雪炮-青蛙	4	300	sp_ic012	2	9999
7024	3	7	3007	0	0	雪炮-熊猫	4	300	sp_ic013	2	9999
7025	3	7	3008	0	0	雪炮-汪汪	4	300	sp_ic014	2	9999
7026	3	7	3009	0	0	雪炮-聚能炮	4	300	sp_ic015	2	9999
7027	3	7	3010	0	0	雪炮-喇叭花	4	300	sp_ic016	2	9999
7028	3	7	3011	0	0	雪炮-消防栓	4	300	sp_ic019	2	9999
7029	3	7	3012	0	0	雪炮-鲤鱼	4	300	sp_ic020	2	9999
7030	3	7	3501	0	0	雪炮-龙头炮	4	500	sp_ic017	3	9999
7031	3	7	3502	0	0	雪炮-青花瓷	4	500	sp_ic018	3	9999
5001	5	5	5	0	0	豪华宝箱	2	800		3	
5002	5	5	6	0	0	超级豪华宝箱	2	2000		3	
