INT	STRING	STRING	INT	INT	STRING	STRING	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	name	name	star	type	desc	desc	pre1	pre2	icon	desc1	desc1	type1	param1	param2	param3	type2	param1	param2	param3	type3	param1	param2	param3	desc2	desc2	type1	param1	param2	param3	type2	param1	param2	param3	type3	param1	param2	param3	desc3	desc3	type1	param1	param2	param3	type2	param1	param2	param3	type3	param1	param2	param3
1001	见习战士	t_talent_pve_name_1001	3	1	"攻击[ee3b3b]+2,生命值[5bd300]+10"	t_talent_pve_desc_1001			ch_zs_a01	"攻击[ee3b3b]+4,生命值[5bd300]+20"	t_talent_pve_desc1_1001	1	3		2	1	1		10					"攻击[ee3b3b]+6,生命值[5bd300]+30"	t_talent_pve_desc2_1001	1	3		4	1	1		20					"攻击[ee3b3b]+2,生命值[5bd300]+10,"	t_talent_pve_desc3_1001	1	3		6	1	1		30				
1002	初级战士	t_talent_pve_name_1002	3	1	"攻击[ee3b3b]+4/8/12,攻击[ee3b3b]+5/10/15%"	t_talent_pve_desc_1002	1001		ch_zs_b01	"攻击[ee3b3b]+4,攻击[ee3b3b]+5%"	t_talent_pve_desc1_1002	1	3		4	1	4		5					"攻击[ee3b3b]+8,攻击[ee3b3b]+10%"	t_talent_pve_desc2_1002	1	3		8	1	4		10					"攻击[ee3b3b]+12,攻击[ee3b3b]+15%"	t_talent_pve_desc3_1002	1	3		12	1	4		15				
1003	初级骑士	t_talent_pve_name_1003	3	1	"生命值[5bd300]+20/40/60,生命值[5bd300]+5/10/15%"	t_talent_pve_desc_1003	1001		ch_zs_b02	"生命值[5bd300]+20,生命值[5bd300]+5%"	t_talent_pve_desc1_1003	1	1		20	1	2		5					"生命值[5bd300]+40,生命值[5bd300]+10%"	t_talent_pve_desc2_1003	1	1		40	1	2		10					"生命值[5bd300]+60,生命值[5bd300]+15%"	t_talent_pve_desc3_1003	1	1		60	1	2		15				
1004	精锐战士	t_talent_pve_name_1004	3	1	"攻击[ee3b3b]+4/8/12,普通雪球射程[e4ac01]+5000/10000/15000"	t_talent_pve_desc_1004	1002		ch_zs_c01	"攻击[ee3b3b]+4,普通雪球射程[e4ac01]+5000"	t_talent_pve_desc1_1004	1	3		4	1	12		5000					"攻击[ee3b3b]+8,普通雪球射程[e4ac01]+10000"	t_talent_pve_desc2_1004	1	3		8	1	12		10000					"攻击[ee3b3b]+12,普通雪球射程[e4ac01]+15000"	t_talent_pve_desc3_1004	1	3		12	1	12		15000				
1005	武者	t_talent_pve_name_1005	3	1	"攻击[ee3b3b]+2/4/6,生命值[5bd300]+10/20/30,移速[e4ac01]+5/10/15%"	t_talent_pve_desc_1005	1002	1003	ch_zs_c02	"攻击[ee3b3b]+2,生命值[5bd300]+10,移速[e4ac01]+5%"	t_talent_pve_desc1_1005	1	3		2	1	1		10	1	8		5	"攻击[ee3b3b]+4,生命值[5bd300]+20,移速[e4ac01]+10%"	t_talent_pve_desc2_1005	1	3		4	1	1		20	1	8		10	"攻击[ee3b3b]+6,生命值[5bd300]+30,移速[e4ac01]+15%"	t_talent_pve_desc3_1005	1	3		6	1	1		30	1	8		15
1006	银甲骑士	t_talent_pve_name_1006	3	1	"生命值[5bd300]+20/40/60,伤害减免[5bd300]+5/10/15%"	t_talent_pve_desc_1006	1003		ch_zs_c03	"生命值[5bd300]+20,伤害减免[5bd300]+5%"	t_talent_pve_desc1_1006	1	1		20	1	15		5					"生命值[5bd300]+40,伤害减免[5bd300]+10%"	t_talent_pve_desc2_1006	1	1		40	1	15		10					"生命值[5bd300]+60,伤害减免[5bd300]+15%"	t_talent_pve_desc3_1006	1	1		60	1	15		15				
1007	圣战士	t_talent_pve_name_1007	3	1	"攻击[ee3b3b]+4/8/12,暴击率[ee3b3b]+5/10/15%"	t_talent_pve_desc_1007	1004		ch_zs_d01	"攻击[ee3b3b]+4,暴击率[ee3b3b]+5%"	t_talent_pve_desc1_1007	1	3		4	1	9		5					"攻击[ee3b3b]+8,暴击率[ee3b3b]+10%"	t_talent_pve_desc2_1007	1	3		8	1	9		10					"攻击[ee3b3b]+12,暴击率[ee3b3b]+15%"	t_talent_pve_desc3_1007	1	3		12	1	9		15				
1008	斗士	t_talent_pve_name_1008	3	1	"攻击[ee3b3b]+2/4/6,生命值[5bd300]+10/20/30,无视防御概率[ee3b3b]+20/40/60%"	t_talent_pve_desc_1008	1004	1005	ch_zs_d02	"攻击[ee3b3b]+2,生命值[5bd300]+10,无视防御概率[ee3b3b]+20%"	t_talent_pve_desc1_1008	1	3		2	1	1		10	1	18		20	"攻击[ee3b3b]+4,生命值[5bd300]+20,无视防御概率[ee3b3b]+40%"	t_talent_pve_desc2_1008	1	3		4	1	1		20	1	18		40	"攻击[ee3b3b]+6,生命值[5bd300]+30,无视防御概率[ee3b3b]+60%"	t_talent_pve_desc3_1008	1	3		6	1	1		30	1	18		60
1009	龙骑士	t_talent_pve_name_1009	3	1	"攻击[ee3b3b]+2/4/6,生命值[5bd300]+10/20/30,普通雪球命中回复生命[5bd300]+10/20/30"	t_talent_pve_desc_1009	1005	1006	ch_zs_d03	"攻击[ee3b3b]+2,生命值[5bd300]+10,普通雪球命中回复生命[5bd300]+10"	t_talent_pve_desc1_1009	1	3		2	1	1		10	1	74		10	"攻击[ee3b3b]+4,生命值[5bd300]+20,普通雪球命中回复生命[5bd300]+20"	t_talent_pve_desc2_1009	1	3		4	1	1		20	1	74		20	"攻击[ee3b3b]+6,生命值[5bd300]+30,普通雪球命中回复生命[5bd300]+30"	t_talent_pve_desc3_1009	1	3		6	1	1		30	1	74		30
