INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	decs	desc	level	type	计数	类型(同成就)	参数1	参数2	参数3	参数4	奖励type	value1	value2	value3	type	value1	value2	value3
101	完成1局零流量自嗨	t_task_desc_101	1	3	1	230					1	1	100					
201	完成3局零流量自嗨	t_task_desc_201	2	3	3	230					1	1	100					
301	成功添加5名好友	t_task_desc_301	3	3	5	42					1	4	10		2	30010003	1	
401	完成3局雪地会战	t_task_desc_401	4	3	3	130					1	1	100					
501	大乱斗，取得1次前3名	t_task_desc_501	5	2	1	9	3				1	1	100					
601	击败20名其他玩家	t_task_desc_601	6	2	20	5					1	1	100					
701	一局对战中击败其他玩家5次	t_task_desc_701	7	2	1	6	5				1	1	100					
801	大乱斗，取得1次第1名	t_task_desc_801	8	2	1	9	1				1	1	100					
901	购买1次角色碎片	t_task_desc_901	9	3	1	40	1001				1	1	100					
1001	一局对战击败其他玩家6次	t_task_desc_1001	10	2	1	6	6				1	1	200					
1002	与其他玩家组队进入1局对战	t_task_desc_1002	10	3	1	41	1				1	1	200		1	4	10	
1101	连续击败5名其他玩家	t_task_desc_1101	11	2	1	7	5				1	1	200					
1201	大乱斗，最终得分达到10000以上	t_task_desc_1201	12	2	1	38	10000				1	1	200					
1202	雪地会战，最终得分达到10000以上	t_task_desc_1202	12	2	1	138	10000				1	1	200					
1301	成功添加10名好友	t_task_desc_1301	13	3	10	42					1	4	10		2	50010001	1	
1401	大乱斗，取得3次前1名	t_task_desc_1401	14	2	3	9	1				1	1	200		1	4	5	
1402	完成5局雪地会战	t_task_desc_1402	14	3	5	130					1	1	200		1	4	5	
1501	击败50名其他玩家	t_task_desc_1501	15	2	50	5					1	1	200		1	4	5	
1601	使用1次喇叭	t_task_desc_1601	16	3	1	140	5001	50010001			1	1	200		1	4	5	
1602	一局对战中达到6级	t_task_desc_1602	16	2	1	10	6				1	1	200		1	4	5	
1701	给任意角色升星1次	t_task_desc_1701	17	3	1	36					1	1	200		1	4	5	
1801	完成10局大乱斗	t_task_desc_1801	18	3	10	30					1	1	200		1	4	5	
1802	完成10局雪地会战	t_task_desc_1802	18	3	10	130					1	1	200		1	4	5	
1901	一局对战中击败其他玩家7次	t_task_desc_1901	19	2	1	6	7				1	1	200		1	4	5	
2001	累计击败50次男性角色	t_task_desc_2001	20	2	50	39	0				1	1	300		1	4	5	
2002	累计击败50次女性角色	t_task_desc_2002	20	2	50	39	1				1	1	300		1	4	5	
2101	完成1次奖杯升星	t_task_desc_2101	21	3	1	37					1	1	300		1	4	5	
2201	出售1次角色碎片	t_task_desc_2201	22	3	1	240	1001				1	1	300		1	4	5	
2202	一局对战中击败其他玩家8次	t_task_desc_2202	22	2	1	6	8				1	1	300		1	4	5	
2301	连续击败6名其他玩家	t_task_desc_2301	23	2	1	7	6				1	1	300		1	4	5	
2401	完成15局大乱斗	t_task_desc_2401	24	3	15	30					1	1	300		1	4	5	
2402	完成15局雪地会战	t_task_desc_2402	24	3	15	130					1	1	300		1	4	5	
2501	击败60名其他玩家	t_task_desc_2501	25	2	60	5					1	1	300		1	4	5	
2601	大乱斗，3次最终得分达到15000以上	t_task_desc_2601	26	2	3	38	15000				1	1	300		1	4	5	
2602	雪地会战，3次最终得分达到15000以上	t_task_desc_2602	26	2	3	138	15000				1	1	300		1	4	5	
2701	给任意角色升星1次	t_task_desc_2701	27	3	1	36					1	1	300		1	4	5	
2801	累计击败100次男性角色	t_task_desc_2801	28	2	100	39	0				1	1	300		1	4	5	
2802	累计击败100次女性角色	t_task_desc_2802	28	2	100	39	1				1	1	300		1	4	5	
2901	一局对战中击败其他玩家9次	t_task_desc_2901	29	2	1	6	9				1	1	300		1	4	5	
3001	完成20局大乱斗	t_task_desc_3001	30	3	20	30					1	1	400		1	4	5	
3002	完成20局雪地会战	t_task_desc_3002	30	3	20	130					1	1	400		1	4	5	
3101	连续击败7名其他玩家	t_task_desc_3101	31	2	1	7	7				1	1	400		1	4	5	
3201	大乱斗，取得5次前1名	t_task_desc_3201	32	2	5	9	1				1	1	400		1	4	5	
3202	一局对战中击败其他玩家10次	t_task_desc_3202	32	2	1	6	10				1	1	400		1	4	5	
3301	完成1次奖杯升星	t_task_desc_3301	33	3	1	37					1	1	400		1	4	5	
3401	累计击败100次男性角色	t_task_desc_3401	34	2	100	39	0				1	1	400		1	4	5	
3402	累计击败100次女性角色	t_task_desc_3402	34	2	100	39	1				1	1	400		1	4	5	
3501	给任意角色升星1次	t_task_desc_3501	35	3	1	36					1	1	400		1	4	5	
3601	完成20局大乱斗	t_task_desc_3601	36	3	20	30					1	1	400		1	4	5	
3602	完成20局雪地会战	t_task_desc_3602	36	3	20	130					1	1	400		1	4	5	
3701	连续击败8名其他玩家	t_task_desc_3701	37	2	1	7	8				1	1	400		1	4	5	
3801	大乱斗，取得10次前1名	t_task_desc_3801	38	2	10	9	1				1	1	400		1	4	5	
