INT	STRING	STRING
ID	tips	tips
1	账号升级后可以增加每周战斗金币上限	t_tips_1
2	每个赛季持续一周，每周一开始发放上个赛季的奖励	t_tips_2
3	每周一开始新的赛季，奖杯段位会随新赛季到来而下降	t_tips_3
4	留心地面上出现的红圈，被陨石命中会立即死亡嘞	t_tips_4
5	升级后可以获得天赋点，天赋可以给角色带来巨大增益	t_tips_5
6	雪人是无敌的，但还是会被龙卷风吹走哟	t_tips_6
7	能量越高，释放的道具技能越强力哦	t_tips_7
8	带上你的小伙伴一起玩耍吧，多多分享多多领奖	t_tips_8
9	混乱状态下，所有操作都会反向，包括技能释放哦	t_tips_9
10	零流量自嗨结算时只获得金币和宝箱，成就和奖杯不会发生变化	t_tips_10
11	偷偷告诉你，首次改名是免费的~	t_tips_11
12	战斗结束时排名越高，获得珍贵宝箱的几率越大	t_tips_12
13	花费钻石可立即打开解锁中的宝箱	t_tips_13
14	最多只能同时拥有4个宝箱，宝箱满了后无法再获得新宝箱	t_tips_14
15	雪球蓄力后攻击力和射程都会大幅增强	t_tips_15
16	战场瞬息万变，不到最后一刻谁也不能保证自己的排名	t_tips_16
17	点击大厅界面的奖杯图标可以查看奖杯升降规则	t_tips_17
18	战斗不止是近身突突突，蓄力的超远狙击更安全	t_tips_18
19	重复获得已拥有的角色，系统自动转化为20个角色碎片	t_tips_19
