INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
level	成就积分	type	value1	value2	value3	type	value1	value2	value3	type	value1	value2	value3
1	0												
2	50	1	4	10									
3	60	1	4	20									
4	70	1	4	30		6	2	1					
5	80	1	4	40									
6	90	1	4	50									
7	100	1	4	60		6	3	1					
8	110	1	4	70									
9	120	1	4	80									
10	130	1	4	90		6	101	1					
11	140	1	4	100									
12	150	1	4	110									
13	160	1	4	120		6	102	1					
14	170	1	4	130									
15	180	1	4	140									
16	190	1	4	150		6	103	1					
17	200	1	4	160									
18	210	1	4	170		6	104	1					
19	220	1	4	180									
20	230	1	4	190		6	105	1					
