INT	INT	INT	INT
level	低等AI数量	中等AI数量	高等AI数量
1	0	10	0
2	0	9	1
3	0	8	2
4	0	7	3
5	0	6	4
6	0	5	5
7	0	4	6
8	0	3	7
9	0	2	8
10	0	1	9
11	0	0	10
12	0	0	10
13	0	0	10
14	0	0	10
15	0	0	10
16	0	0	10
17	0	0	10
18	0	0	10
19	0	0	10
20	0	0	10
21	0	0	10
22	0	0	10
23	0	0	10
24	0	0	10
25	0	0	10
26	0	0	10
27	0	0	10
28	0	0	10
29	0	0	10
30	0	0	10
31	0	0	10
32	0	0	10
33	0	0	10
34	0	0	10
35	0	0	10
36	0	0	10
37	0	0	10
38	0	0	10
39	0	0	10
40	0	0	10
41	0	0	10
42	0	0	10
43	0	0	10
44	0	0	10
45	0	0	10
46	0	0	10
47	0	0	10
48	0	0	10
49	0	0	10
50	0	0	10
51	0	0	10
52	0	0	10
53	0	0	10
54	0	0	10
55	0	0	10
56	0	0	10
57	0	0	10
58	0	0	10
59	0	0	10
60	0	0	10
61	0	0	10
62	0	0	10
63	0	0	10
64	0	0	10
65	0	0	10
66	0	0	10
67	0	0	10
68	0	0	10
69	0	0	10
70	0	0	10
71	0	0	10
72	0	0	10
73	0	0	10
74	0	0	10
75	0	0	10
76	0	0	10
77	0	0	10
78	0	0	10
79	0	0	10
80	0	0	10
81	0	0	10
82	0	0	10
83	0	0	10
84	0	0	10
85	0	0	10
86	0	0	10
87	0	0	10
88	0	0	10
89	0	0	10
90	0	0	10
91	0	0	10
92	0	0	10
93	0	0	10
94	0	0	10
95	0	0	10
96	0	0	10
97	0	0	10
98	0	0	10
99	0	0	10
100	0	0	10
