INT	STRING	STRING	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
序号	奖杯等级	name	星数	最大星数	图标	图标	缎带	段位	下降位置	升杯	降杯	团队升杯	团队降杯	得分	type	value1	value2	value3	type	value1	value2	value3	type	value1	value2	value3
0	黄铜	t_cup_name_0	0	2	jb01	jb01_a	jb011	1	0	8	0	2	0	0	1	4	5									
1	黄铜	t_cup_name_1	1	2	jb01	jb01_a	jb011	1	0	8	0	2	0	0	1	4	5									
2	黄铜	t_cup_name_2	2	2	jb01	jb01_a	jb011	1	0	8	0	2	0	0	1	4	5									
3	白银	t_cup_name_3	0	3	jb02	jb02_a	jb022	2	0	7	0	1	0	0	1	4	5									
4	白银	t_cup_name_4	1	3	jb02	jb02_a	jb022	2	0	7	0	1	0	0	1	4	5									
5	白银	t_cup_name_5	2	3	jb02	jb02_a	jb022	2	0	7	0	1	0	0	1	4	5									
6	白银	t_cup_name_6	3	3	jb02	jb02_a	jb022	2	0	7	0	1	0	0	1	4	5									
7	黄金I	t_cup_name_7	0	3	jb03	jb03_a	jb033	3	3	5	0	1	0	10000	1	4	10									
8	黄金I	t_cup_name_8	1	3	jb03	jb03_a	jb033	3	3	5	0	1	0	10000	1	4	10									
9	黄金I	t_cup_name_9	2	3	jb03	jb03_a	jb033	3	3	5	0	1	0	10000	1	4	10									
10	黄金I	t_cup_name_10	3	3	jb03	jb03_a	jb033	3	3	5	0	1	0	10000	1	4	10									
11	黄金II	t_cup_name_11	0	3	jb03	jb03_a	jb033	4	7	5	0	1	0	11000	1	4	20									
12	黄金II	t_cup_name_12	1	3	jb03	jb03_a	jb033	4	7	5	0	1	0	11000	1	4	20									
13	黄金II	t_cup_name_13	2	3	jb03	jb03_a	jb033	4	7	5	0	1	0	11000	1	4	20									
14	黄金II	t_cup_name_14	3	3	jb03	jb03_a	jb033	4	7	5	0	1	0	11000	1	4	20									
15	白金I	t_cup_name_15	0	4	jb04	jb04_a	jb044	5	11	4	8	1	1	12000	1	4	30									
16	白金I	t_cup_name_16	1	4	jb04	jb04_a	jb044	5	11	4	8	1	1	12000	1	4	30									
17	白金I	t_cup_name_17	2	4	jb04	jb04_a	jb044	5	11	4	8	1	1	12000	1	4	30									
18	白金I	t_cup_name_18	3	4	jb04	jb04_a	jb044	5	11	4	8	1	1	12000	1	4	30									
19	白金I	t_cup_name_19	4	4	jb04	jb04_a	jb044	5	11	4	8	1	1	12000	1	4	30									
20	白金II	t_cup_name_20	0	4	jb04	jb04_a	jb044	6	15	4	8	1	1	13000	1	4	40									
21	白金II	t_cup_name_21	1	4	jb04	jb04_a	jb044	6	15	4	8	1	1	13000	1	4	40									
22	白金II	t_cup_name_22	2	4	jb04	jb04_a	jb044	6	15	4	8	1	1	13000	1	4	40									
23	白金II	t_cup_name_23	3	4	jb04	jb04_a	jb044	6	15	4	8	1	1	13000	1	4	40									
24	白金II	t_cup_name_24	4	4	jb04	jb04_a	jb044	6	15	4	8	1	1	13000	1	4	40									
25	钻石I	t_cup_name_25	0	4	jb05	jb05_a	jb055	7	20	3	7	1	1	14000	1	4	50		2	30010004	1					
26	钻石I	t_cup_name_26	1	4	jb05	jb05_a	jb055	7	20	3	7	1	1	14000	1	4	50		2	30010004	1					
27	钻石I	t_cup_name_27	2	4	jb05	jb05_a	jb055	7	20	3	7	1	1	14000	1	4	50		2	30010004	1					
28	钻石I	t_cup_name_28	3	4	jb05	jb05_a	jb055	7	20	3	7	1	1	14000	1	4	50		2	30010004	1					
29	钻石I	t_cup_name_29	4	4	jb05	jb05_a	jb055	7	20	3	7	1	1	14000	1	4	50		2	30010004	1					
30	钻石II	t_cup_name_30	0	4	jb05	jb05_a	jb055	8	25	3	7	1	1	15000	1	4	60		2	30010004	1					
31	钻石II	t_cup_name_31	1	4	jb05	jb05_a	jb055	8	25	3	7	1	1	15000	1	4	60		2	30010004	1					
32	钻石II	t_cup_name_32	2	4	jb05	jb05_a	jb055	8	25	3	7	1	1	15000	1	4	60		2	30010004	1					
33	钻石II	t_cup_name_33	3	4	jb05	jb05_a	jb055	8	25	3	7	1	1	15000	1	4	60		2	30010004	1					
34	钻石II	t_cup_name_34	4	4	jb05	jb05_a	jb055	8	25	3	7	1	1	15000	1	4	60		2	30010004	1					
35	钻石III	t_cup_name_35	0	4	jb05	jb05_a	jb055	9	30	3	7	1	1	16000	1	4	70		2	30010004	1					
36	钻石III	t_cup_name_36	1	4	jb05	jb05_a	jb055	9	30	3	7	1	1	16000	1	4	70		2	30010004	1					
37	钻石III	t_cup_name_37	2	4	jb05	jb05_a	jb055	9	30	3	7	1	1	16000	1	4	70		2	30010004	1					
38	钻石III	t_cup_name_38	3	4	jb05	jb05_a	jb055	9	30	3	7	1	1	16000	1	4	70		2	30010004	1					
39	钻石III	t_cup_name_39	4	4	jb05	jb05_a	jb055	9	30	3	7	1	1	16000	1	4	70		2	30010004	1					
40	大师I	t_cup_name_40	0	4	jb06	jb06_a	jb066	10	35	2	6	1	1	17000	1	4	80		2	30010004	2					
41	大师I	t_cup_name_41	1	4	jb06	jb06_a	jb066	10	35	2	6	1	1	17000	1	4	80		2	30010004	2					
42	大师I	t_cup_name_42	2	4	jb06	jb06_a	jb066	10	35	2	6	1	1	17000	1	4	80		2	30010004	2					
43	大师I	t_cup_name_43	3	4	jb06	jb06_a	jb066	10	35	2	6	1	1	17000	1	4	80		2	30010004	2					
44	大师I	t_cup_name_44	4	4	jb06	jb06_a	jb066	10	35	2	6	1	1	17000	1	4	80		2	30010004	2					
45	大师II	t_cup_name_45	0	4	jb06	jb06_a	jb066	11	40	2	6	1	1	18000	1	4	90		2	30010004	2					
46	大师II	t_cup_name_46	1	4	jb06	jb06_a	jb066	11	40	2	6	1	1	18000	1	4	90		2	30010004	2					
47	大师II	t_cup_name_47	2	4	jb06	jb06_a	jb066	11	40	2	6	1	1	18000	1	4	90		2	30010004	2					
48	大师II	t_cup_name_48	3	4	jb06	jb06_a	jb066	11	40	2	6	1	1	18000	1	4	90		2	30010004	2					
49	大师II	t_cup_name_49	4	4	jb06	jb06_a	jb066	11	40	2	6	1	1	18000	1	4	90		2	30010004	2					
50	大师III	t_cup_name_50	0	4	jb06	jb06_a	jb066	12	45	2	6	1	1	19000	1	4	100		2	30010004	2					
51	大师III	t_cup_name_51	1	4	jb06	jb06_a	jb066	12	45	2	6	1	1	19000	1	4	100		2	30010004	2					
52	大师III	t_cup_name_52	2	4	jb06	jb06_a	jb066	12	45	2	6	1	1	19000	1	4	100		2	30010004	2					
53	大师III	t_cup_name_53	3	4	jb06	jb06_a	jb066	12	45	2	6	1	1	19000	1	4	100		2	30010004	2					
54	大师III	t_cup_name_54	4	4	jb06	jb06_a	jb066	12	45	2	6	1	1	19000	1	4	100		2	30010004	2					
55	冰魂I	t_cup_name_55	0	5	jb07	jb07_a	jb077	13	50	1	5	1	1	20000	1	4	110		2	30010004	3					
56	冰魂I	t_cup_name_56	1	5	jb07	jb07_a	jb077	13	50	1	5	1	1	20000	1	4	110		2	30010004	3					
57	冰魂I	t_cup_name_57	2	5	jb07	jb07_a	jb077	13	50	1	5	1	1	20000	1	4	110		2	30010004	3					
58	冰魂I	t_cup_name_58	3	5	jb07	jb07_a	jb077	13	50	1	5	1	1	20000	1	4	110		2	30010004	3					
59	冰魂I	t_cup_name_59	4	5	jb07	jb07_a	jb077	13	50	1	5	1	1	20000	1	4	110		2	30010004	3					
60	冰魂I	t_cup_name_60	5	5	jb07	jb07_a	jb077	13	50	1	5	1	1	20000	1	4	110		2	30010004	3					
61	冰魂II	t_cup_name_61	0	5	jb07	jb07_a	jb077	14	55	1	4	1	1	25000	1	4	120		2	30010004	3					
62	冰魂II	t_cup_name_62	1	5	jb07	jb07_a	jb077	14	55	1	4	1	1	25000	1	4	120		2	30010004	3					
63	冰魂II	t_cup_name_63	2	5	jb07	jb07_a	jb077	14	55	1	4	1	1	25000	1	4	120		2	30010004	3					
64	冰魂II	t_cup_name_64	3	5	jb07	jb07_a	jb077	14	55	1	4	1	1	25000	1	4	120		2	30010004	3					
65	冰魂II	t_cup_name_65	4	5	jb07	jb07_a	jb077	14	55	1	4	1	1	25000	1	4	120		2	30010004	3					
66	冰魂II	t_cup_name_66	5	5	jb07	jb07_a	jb077	14	55	1	4	1	1	25000	1	4	120		2	30010004	3					
67	冰魂III	t_cup_name_67	0	5	jb07	jb07_a	jb077	15	61	1	3	1	1	30000	1	4	130		2	30010004	3					
68	冰魂III	t_cup_name_68	1	5	jb07	jb07_a	jb077	15	61	1	3	1	1	30000	1	4	130		2	30010004	3					
69	冰魂III	t_cup_name_69	2	5	jb07	jb07_a	jb077	15	61	1	3	1	1	30000	1	4	130		2	30010004	3					
70	冰魂III	t_cup_name_70	3	5	jb07	jb07_a	jb077	15	61	1	3	1	1	30000	1	4	130		2	30010004	3					
71	冰魂III	t_cup_name_71	4	5	jb07	jb07_a	jb077	15	61	1	3	1	1	30000	1	4	130		2	30010004	3					
72	冰魂III	t_cup_name_72	5	5	jb07	jb07_a	jb077	15	61	1	3	1	1	30000	1	4	130		2	30010004	3					
73	冰魂IV	t_cup_name_73	0	5	jb07	jb07_a	jb077	16	67	1	2	1	1	35000	1	4	140		2	30010004	3					
74	冰魂IV	t_cup_name_74	1	5	jb07	jb07_a	jb077	16	67	1	2	1	1	35000	1	4	140		2	30010004	3					
75	冰魂IV	t_cup_name_75	2	5	jb07	jb07_a	jb077	16	67	1	2	1	1	35000	1	4	140		2	30010004	3					
76	冰魂IV	t_cup_name_76	3	5	jb07	jb07_a	jb077	16	67	1	2	1	1	35000	1	4	140		2	30010004	3					
77	冰魂IV	t_cup_name_77	4	5	jb07	jb07_a	jb077	16	67	1	2	1	1	35000	1	4	140		2	30010004	3					
78	冰魂IV	t_cup_name_78	5	5	jb07	jb07_a	jb077	16	67	1	2	1	1	35000	1	4	140		2	30010004	3					
79	冰魂V	t_cup_name_79	0	5	jb07	jb07_a	jb077	17	73	1	1	1	1	40000	1	4	150		2	30010004	3					
