INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING
关卡	关卡名	关卡说明	地图	等级条件	奖杯条件	倒计时	敌人波数	第一波敌人	第二波敌人	第三波敌人	第四波敌人	第五波敌人	触发剧情	对话1	对话2	对话3	对话4	
1001																		
1002																		
1003																		
1004																		
1005																		
1006																		
1007																		
1008																		
1009																		
1010																		
1011																		
1012																		
1013																		
1014																		
1015																		
1016																		
1017																		
1018																		
1019																		
1020																		
1021																		
1022																		
1023																		
1024																		
1025																		
1026																		
1027																		
1028																		
1029																		
1030																		
