INT	INT	INT	INT	INT	INT	INT	INT	STRING
id	guide_id	type	type_child_id	param_int	param1	param2	param3	param_string
1	1	4						skip_step
2	2	1	1	0	1			
3	3	2	6	2	5			
4	4	4						skip_step
5	5	5	2					
6	6	2	2	2	2			
7	7	4						skip_step
8	8	3	1	200901				
9	9	3	3	1				
10	10	5	2					
11	11	2	3	6	1	200901	1	
12	12	4						skip_step
13	13	3	1	200901				
14	14	3	3	3				
15	14	3	4	4	100			2nd
16	15	2	3	12	1	200901	3	
17	16	4						skip_step
18	17	4						skip_step
19	18	4						skip_step
20	19	1	1	3	13			
21	20	4						skip_step
22	21	6						sskill
23	22	7		7				
24	23	4						skip_step
25	24	4						skip_step
26	25	8		15				
27	26	9						
28	27	10		4001				
29	28	4						boss_buff_icon
30	29	4						skip_step
