INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT
id	guide_id	type	param_int	param1	param2	param3	param_string	offset_x	offset_y
1	1	8	0				t_guide_init_01		
2	1	10					1|2|3		
3	2	1	4				t_guide_init_02		
4	2	8	1				t_guide_init_03		
5	2	3	1						
6	2	2	1						
7	3	8	3				t_guide_init_04		
8	3	1	5				t_guide_init_05		
9	3	2	2						
10	4	7							
11	4	8	6	1			t_guide_init_04		
12	5	1	5				t_guide_init_06		
13	5	8	1				t_guide_init_07		
14	5	6							
15	6	1	5				t_guide_init_08		
16	6	8	3				t_guide_init_09		
17	7	7							
18	7	8	6	1			t_guide_init_09		
19	8	8	3				t_guide_init_10		
20	8	2	3						
21	8	10					1|2		
22	9	8	3				t_guide_init_11		
23	9	2	4						
24	10	13							
25	10	8	3				t_guide_init_12		
26	10	6							1
27	10	12	1						
28	11	2	6						
29	11	8	3				t_guide_init_13		
30	11	12							
31	11	1	3				t_guide_init_14		40
32	12	7							
33	12	8	6	1			t_guide_init_13		
34	13	8	3				t_guide_init_15		
35	13	2	7						
36	14	2	8						
37	14	8	3				t_guide_init_16		
38	14	12	1						
39	15	8	3				t_guide_init_17		
40	15	2	12						
41	15	12							
42	16	7							
43	16	8	6	1			t_guide_init_19		
44	17	8	0				t_guide_init_19		
45	17	10					1		
46	18	8	0				t_guide_init_20		
47	19	1	2				t_guide_init_18		40
48	19	16						275000	395000
49	19	8	3				t_guide_init_21		
50	19	15	1						
51	19	2	13						
52	20	7							
53	20	8	6	1			t_guide_init_21		
54	21	7							
55	21	10							
56	21	8	3				t_guide_init_22		
57	21	12	2						
58	21	1	1						
59	21	6							
60	22	7							
61	22	8	3				t_guide_init_23		
62	22	15	1						
63	22	4	14	2					
64	23	12							
65	23	8	6	1			t_guide_init_23		
66	24	7							
67	24	8	0				t_guide_init_24		
68	25	8	3				t_guide_init_25		
69	25	2	15						
70	26	8	3				t_guide_init_26		
71	26	2	15						
72	27	14							
73	28	8	3				t_guide_init_27		
74	28	1	6						
75	29	8					t_guide_init_28		
76	29	17							
77	29	10							
90	100	1	7				t_guide_init_29		170
91	100	8	3				t_guide_init_30		
