INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	序号	权重	名字	角色ID	体型	生命	攻击	防御	攻击距离	攻速	移速	被动	技能1	技能2	技能3
1	1	100	酷酷	1001		500	150	10	30000	20000	30000		100101		
2	1	100	妮妮	1002		500	150	10	30000	20000	30000		100101		
3	1	100	小狸	1003		500	150	10	30000	20000	30000		100101		
4	1	100	浣浣	1004		500	150	10	30000	20000	30000		100101		
5	1	100	牛牛	1005		500	150	10	30000	20000	30000		100101		
6	1	100	喵酱	1006		500	150	10	30000	20000	30000		100101		
7	1	100	乐乐	1007		500	150	10	30000	20000	30000		100101		
8	1	100	雪儿	1008		500	150	10	30000	20000	30000		100101		
9	2	100	酷酷	1001		750	180	12	35000	17500	30000		100101		
10	2	100	妮妮	1002		750	180	12	35000	17500	30000		100101		
11	2	100	小狸	1003		750	180	12	35000	17500	30000		100101		
12	2	100	浣浣	1004		750	180	12	35000	17500	30000		100101		
13	2	100	牛牛	1005		750	180	12	35000	17500	30000		100101		
14	2	100	喵酱	1006		750	180	12	35000	17500	30000		100101		
15	2	100	乐乐	1007		750	180	12	35000	17500	30000		100101		
16	2	100	雪儿	1008		750	180	12	35000	17500	30000		100101		
17	3	100	酷酷	1001		1000	200	14	40000	15000	35000		100101		
18	3	100	妮妮	1002		1000	200	14	40000	15000	35000		100101		
19	3	100	小狸	1003		1000	200	14	40000	15000	35000		100101		
20	3	100	浣浣	1004		wo	200	14	40000	15000	35000		100101		
21	3	100	牛牛	1005		1000	200	14	40000	15000	35000		100101		
22	3	100	喵酱	1006		1000	200	14	40000	15000	35000		100101		
23	3	100	乐乐	1007		1000	200	14	40000	15000	35000		100101		
24	3	100	雪儿	1008		1000	200	14	40000	15000	35000		100101		
25	3	50	甄姬	2001		1000	200	14	50000	15000	35000	2001	100101		
26	3	50	黄盖	2002		1000	200	14	50000	15000	35000	2002	100101		
27	3	50	嫦娥	2003		1000	200	14	50000	15000	35000	2003	100101		
28	3	50	周瑜	2004		1000	200	14	50000	15000	35000	2004	100101		
29	3	50	武则天	2005		1000	200	14	50000	15000	35000	2005	100101		
30	3	50	槽里马	2006		1000	200	14	50000	15000	35000	2006	100101		
31	4	100	酷酷	1001		1250	220	16	50000	15000	35000		100101		
32	4	100	妮妮	1002		1250	220	16	50000	15000	35000		100101		
33	4	100	小狸	1003		1250	220	16	50000	15000	35000		100101		
34	4	100	浣浣	1004		1250	220	16	50000	15000	35000		100101		
