INT	STRING	STRING	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	名字	名字	品质 1蓝 2紫 3金	性别 0男 1女	角色图标	角色模型	人物介绍	角色语音1	角色语音2	角色语音3	角色语音4	初始生命	成长生命	初始攻击	成长攻击	初始防御	成长防御	攻击距离	攻击速度	移动速度	光环1	光环2	光环3	专属被动1	专属被动2	专属被动3	碎片id	碎片需求/等级	类型0角色 1怪物	获得规则 0碎片合成 1等级解锁 2商城购买 3首充 4会员福利 99隐藏	围巾x轴	围巾y轴	围巾z轴
101	雪怪	t_role_name_101			ic_boss	boss01			boss_attack	boss_die		6000		100		0		80000	20000	0									1				
201	小豆豆	t_role_name_201				snow_kfc01				penguin_die		300		0		10				25000									1				
202	小豆豆	t_role_name_202				snow_kfc02				penguin_die		300		0		10				25000									1				
203	小豆豆	t_role_name_203				snow_kfc03				penguin_die		300		0		10				25000									1				
204	小豆豆	t_role_name_204				snow_kfc04				penguin_die		300		0		10				25000									1				
205	小豆豆	t_role_name_205				snow_kfc05				penguin_die		300		0		10				25000									1				
206	豆豆	t_role_name_206				snow_kfb01				penguin_die		600		30		15			20000	25000									1				
207	豆豆	t_role_name_207				snow_kfb02				penguin_die		600		30		15			20000	25000									1				
208	豆豆	t_role_name_208				snow_kfb03				penguin_die		600		30		15			20000	25000									1				
209	豆豆	t_role_name_209				snow_kfb04				penguin_die		600		30		15			20000	25000									1				
210	豆豆	t_role_name_210				snow_kfb05				penguin_die		600		30		15			20000	25000									1				
211	大豆豆	t_role_name_211				snow_kfa01				penguin_die		900		50		20			15000	25000									1				
212	大豆豆	t_role_name_212				snow_kfa02				penguin_die		900		50		20			15000	25000									1				
213	大豆豆	t_role_name_213				snow_kfa03				penguin_die		900		50		20			15000	25000									1				
214	大豆豆	t_role_name_214				snow_kfa04				penguin_die		900		50		20			15000	25000									1				
