INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT
id	id	id	id	id	id	id	id	id	id	id	id	id	id	icon	cost
100101	普攻攻击	1	1	500	2	50000	6000	attack01	100	10010101				sfic_ptgj	
100101	普攻攻击蓄力	2	1	500	2	50000	6000	attack02	100	10010101	-60000	150	700	sfic_ptgj	
200201	冰棍1	1	2		2	60000	10000		300	20020101				sfic_bdq1	1
200201	冰棍2	2	2		2	80000	15000		300	20020201				sfic_bdq1	2
200201	冰棍3	3	2		2	100000	20000		300	20020301				sfic_bdq1	3
200201	冰棍(甄姬)1	4	2		2	60000	10000		300	20020401				sfic_bdq1	1
200201	冰棍(甄姬)2	5	2		2	80000	15000		300	20020501				sfic_bdq1	2
200201	冰棍(甄姬)3	6	2		2	100000	20000		300	20020601				sfic_bdq1	3
200301	雷电球1	1	2		2	60000	20000		300	20030101				sfic_sdq1	1
200301	雷电球2	2	2		2	90000	22000		300	20030201				sfic_sdq1	2
200301	雷电球3	3	2		2	120000	24000		300	20030301				sfic_sdq1	3
200301	雷电球(悟空)1	4	2		3	60000	24000		300	20030401				sfic_sdq1	1
200301	雷电球(悟空)2	5	2		3	80000	32000		300	20030501				sfic_sdq1	2
200301	雷电球(悟空)3	6	2		3	100000	40000		300	20030601				sfic_sdq1	3
200401	大雪球1	1	2		2	90000	20000		300	20040101				sfic_dxq1	1
200401	大雪球2	2	2		2	120000	30000		300	20040201				sfic_dxq1	2
200401	大雪球3	3	2		2	150000	40000		300	20040301				sfic_dxq1	3
200401	大雪球(黄盖)1	4	2		2	90000	20000		300	20040401				sfic_dxq1	1
200401	大雪球(黄盖)2	5	2		2	120000	30000		300	20040501				sfic_dxq1	2
200401	大雪球(黄盖)3	6	2		2	150000	40000		300	20040601				sfic_dxq1	3
200501	墨水球1	1	2		3	60000	30000		300	20050101				sfic_msq1	1
200501	墨水球2	2	2		3	80000	40000		300	20050201				sfic_msq1	2
200501	墨水球3	3	2		3	100000	50000		300	20050301				sfic_msq1	3
200501	墨水球(貂蝉)1	4	2		3	60000	30000		300	20050401				sfic_msq1	1
200501	墨水球(貂蝉)2	5	2		3	80000	40000		300	20050501				sfic_msq1	2
200501	墨水球(貂蝉)3	6	2		3	100000	50000		300	20050601				sfic_msq1	3
200601	恶魔球1	1	2		1	60000	180		300	20060101				sfic_emq1	1
200601	恶魔球2	2	2		1	80000	180		300	20060201				sfic_emq1	2
200601	恶魔球3	3	2		1	100000	180		300	20060301				sfic_emq1	3
200601	恶魔球（草泥马）1	4	2		6	50000			300	20060401				sfic_emq1	1
200601	恶魔球（草泥马）2	5	2		6	70000			300	20060501				sfic_emq1	2
200601	恶魔球（草泥马）3	6	2		6	90000			300	20060601				sfic_emq1	3
200701	暴风雪1	1	2		3	60000	20000		300	20070101				sfic_bfx1	1
200701	暴风雪2	2	2		3	80000	30000		300	20070201				sfic_bfx1	2
200701	暴风雪3	3	2		3	100000	40000		300	20070301				sfic_bfx1	3
200701	暴风雪(紫霞)1	4	2		3	60000	20000		300	20070401				sfic_bfx1	1
200701	暴风雪(紫霞)2	5	2		3	80000	30000		300	20070501				sfic_bfx1	2
200701	暴风雪(紫霞)3	6	2		3	100000	40000		300	20070601				sfic_bfx1	3
200801	龙卷风1	1	2		2	80000	20000		300	20080101				sfic_ljf1	1
200801	龙卷风2	2	2		2	120000	26000		300	20080201				sfic_ljf1	2
200801	龙卷风3	3	2		2	160000	32000		300	20080301				sfic_ljf1	3
200801	龙卷风(吕布)1	4	2		3	60000	25000		300	20080401				sfic_ljf1	1
200801	龙卷风(吕布)2	5	2		3	80000	32500		300	20080501				sfic_ljf1	2
200801	龙卷风(吕布)3	6	2		3	100000	40000		300	20080601				sfic_ljf1	3
200801	龙卷风（龙宝宝）1	7	2		6	40000			300	20080701				sfic_ljf1	1
200801	龙卷风（龙宝宝）2	8	2		6	50000			300	20080801				sfic_ljf1	2
200801	龙卷风（龙宝宝）2	9	2		6	60000			300	20080901				sfic_ljf1	3
200901	陨石球1	1	2		3	60000	30000		300	20090101				sfic_ysq1	1
200901	陨石球2	2	2		3	80000	36000		300	20090201				sfic_ysq1	2
200901	陨石球3	3	2		3	100000	42000		300	20090301				sfic_ysq1	3
200901	陨石球(武则天)1	4	2		3	60000	30000		300	20090401				sfic_ysq1	1
200901	陨石球(武则天)2	5	2		3	80000	35000		300	20090501				sfic_ysq1	2
200901	陨石球(武则天)3	6	2		3	100000	40000		300	20090601				sfic_ysq1	3
201001	定时炸弹1	1	2		3	60000	30000		300	20100101				sfic_dszd1	1
201001	定时炸弹2	2	2		3	80000	40000		300	20100201				sfic_dszd1	2
201001	定时炸弹3	3	2		3	100000	50000		300	20100301				sfic_dszd1	3
201001	定时炸弹(周瑜)1	4	2		3	60000	30000		300	20100401				sfic_dszd1	1
201001	定时炸弹(周瑜)2	5	2		3	80000	36000		300	20100501				sfic_dszd1	2
201001	定时炸弹(周瑜)3	6	2		3	100000	42000		300	20100601				sfic_dszd1	3
201001	定时炸弹(战狼)1	7	2		2	60000	10000		300	20100701				sfic_dszd1	1
201001	定时炸弹(战狼)2	8	2		2	80000	15000		300	20100801				sfic_dszd1	2
201001	定时炸弹(战狼)3	9	2		2	100000	20000		300	20100901				sfic_dszd1	3
201101	隐身1	1	2		5	0				20110101				sfic_ysdp1	1
201101	隐身2	2	2		5	0				20110201				sfic_ysdp1	2
201101	隐身3	3	2		5	0				20110301				sfic_ysdp1	3
201101	隐身(嫦娥)1	4	2		5	0				20110401				sfic_ysdp1	1
201101	隐身(嫦娥)2	5	2		5	0				20110501				sfic_ysdp1	2
201101	隐身(嫦娥)3	6	2		5	0				20110601				sfic_ysdp1	3
300101	变雪人	1	3	60000	5	0								sfic_bxr	1
300201	冲锋	1	2	30000	5	0				30020101				sfic_bxr3	1
400101	BOSS普攻	1	1	1000	2	80000	10000	attack01	100	40010101					
400201	BOSS技能1	1	2	0	2	100000	40000	attack03	300	40020101					
400301	BOSS技能2 	1	2	0	6	60000		attack04	300	40030101					
500101	企鹅普攻	1	4	500	100	1000	5000	attack01	100				200		
