INT	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	id	id	id	id	id	id	id	id	id	id	id	id	id	id	id	id	id	id	id	id	id	id	id	id	id	id	id	id	id	id	id
10010101	普攻攻击	100101	1	1	50000	6000	1	Unit_cast_Snowball	Unit_Area_SnowSplash	1	Unit_hit_Snowball	1		100	200000	8000	10000	7000			1						10010101				
20020101	冰棍1	200201	2	1	60000	10000	1	Unit_cast_popsicle	Unit_Area_SnowSplash	1	Unit_hit_Snowball	1		100	100000	8000	10000	7000			1						20020101				
20020201	冰棍2	200201	2	1	80000	15000	1	Unit_cast_popsicle	Unit_Area_SnowSplash	1	Unit_hit_Snowball	1		150	100000	8000	10000	7000			1						20020201				
20020301	冰棍3	200201	2	1	100000	20000	1	Unit_cast_popsicle	Unit_Area_SnowSplash	1	Unit_hit_Snowball	1		200	100000	8000	10000	7000			1						20020301				
20020401	冰棍(甄姬)1	200201	2	1	60000	10000	1	Unit_cast_popsicle	Unit_Area_SnowSplash	1	Unit_hit_Snowball	1		100	100000	8000	10000	7000			1				3	20	20020401				
20020501	冰棍(甄姬)2	200201	2	1	80000	15000	1	Unit_cast_popsicle	Unit_Area_SnowSplash	1	Unit_hit_Snowball	1		150	100000	8000	10000	7000			1				4	20	20020501				
20020601	冰棍(甄姬)3	200201	2	1	100000	20000	1	Unit_cast_popsicle	Unit_Area_SnowSplash	1	Unit_hit_Snowball	1		200	100000	8000	10000	7000			1				5	20	20020601				
20030101	雷电球1	200301	2	2	30000		1	Unit_cast_LightningBall						100	80000	8000	30000	20000										20030104	20030102		
20030102	雷电球11	200301	2	2	30000		1	Unit_cast_LightningBall						100	80000	8000	30000	20000										20030104	20030103		
20030103	雷电球12	200301	2	2	30000		1	Unit_cast_LightningBall						100	80000	8000	30000	20000										20030104			
20030104	雷电球地面1	200301	2	7		20000	1	Unit_hitArea_LightningBall						100					500	1200	1						20030101				
20030201	雷电球2	200301	2	2	30000		1	Unit_cast_LightningBall						110	80000	8000	30000	20000										20030205	20030202		
20030202	雷电球21	200301	2	2	30000		1	Unit_cast_LightningBall						110	80000	8000	30000	20000										20030205	20030203		
20030203	雷电球22	200301	2	2	30000		1	Unit_cast_LightningBall						110	80000	8000	30000	20000										20030205	20030204		
20030204	雷电球23	200301	2	2	30000		1	Unit_cast_LightningBall						110	80000	8000	30000	20000										20030205			
20030205	雷电球地面2	200301	2	7		22000	1	Unit_hitArea_LightningBall						110					500	1200	1						20030201				
20030301	雷电球3	200301	2	2	30000		1	Unit_cast_LightningBall						120	80000	8000	30000	20000										20030306	20030302		
20030302	雷电球31	200301	2	2	30000		1	Unit_cast_LightningBall						120	80000	8000	30000	20000										20030306	20030303		
20030303	雷电球32	200301	2	2	30000		1	Unit_cast_LightningBall						120	80000	8000	30000	20000										20030306	20030304		
20030304	雷电球33	200301	2	2	30000		1	Unit_cast_LightningBall						120	80000	8000	30000	20000										20030306	20030305		
20030305	雷电球34	200301	2	2	30000		1	Unit_cast_LightningBall						120	80000	8000	30000	20000										20030306			
20030306	雷电球地面3	200301	2	7		24000	1	Unit_hitArea_LightningBall						120					500	1200	1						20030301				
20030401	雷电球(悟空)1	200301	2	2	60000		1	Unit_cast_LightningBall						120	100000	8000	50000	35000			0							20030402			
20030402	雷电球(悟空)地面1	200301	2	7		24000	1	Unit_hitArea_thunderStrike						120					4500	4500	1	1	2000				20030401				
20030501	雷电球(悟空)2	200301	2	2	80000		1	Unit_cast_LightningBall						160	100000	8000	50000	35000			0							20030502			
20030502	雷电球(悟空)地面2	200301	2	7		32000	1	Unit_hitArea_thunderStrike						160					4500	4500	1	1	2000				20030501				
20030601	雷电球(悟空)3	200301	2	2	100000		1	Unit_cast_LightningBall						200	100000	8000	50000	35000			0							20030602			
20030602	雷电球(悟空)地面3	200301	2	7		40000	1	Unit_hitArea_thunderStrike						200					4500	4500	1	1	2000				20030601				
20040101	大雪球1	200401	2	1	90000	20000	1	Unit_cast_BigSnowball	Unit_hit_BigSnowball	1	Unit_hit_BigSnowball	1	Unit_hit_BigSnowball	100	50000	0	0	0			2						20040101				
20040201	大雪球2	200401	2	1	120000	30000	1	Unit_cast_BigSnowball	Unit_hit_BigSnowball	1	Unit_hit_BigSnowball	1	Unit_hit_BigSnowball	150	50000	0	0	0			2						20040201				
20040301	大雪球3	200401	2	1	150000	40000	1	Unit_cast_BigSnowball	Unit_hit_BigSnowball	1	Unit_hit_BigSnowball	1	Unit_hit_BigSnowball	200	50000	0	0	0			2						20040301				
20040401	大雪球(黄盖)1	200401	2	1	90000	20000	1	Unit_cast_ironBall	Unit_hit_ironBall					100	50000	0	0	0			2						20040401				
20040501	大雪球(黄盖)2	200401	2	1	120000	30000	1	Unit_cast_ironBall	Unit_hit_ironBall					150	50000	0	0	0			2						20040501				
20040601	大雪球(黄盖)3	200401	2	1	150000	40000	1	Unit_cast_ironBall	Unit_hit_ironBall					200	50000	0	0	0			2						20040601				
20050101	墨水球1	200501	2	2	80000		1	Unit_cast_InkBall						100	100000	8000	50000	35000			0									20050102	
20050102	墨水球1提示	200501	2	7		30000	1	Boss_hitArea_warning						150					500	500								20050103			
20050103	墨水球地面1	200501	2	7		30000	1	Unit_hitArea_ink						100					500	3000	1						20050101				
20050201	墨水球2	200501	2	2	90000		1	Unit_cast_InkBall						133	100000	8000	50000	35000			0									20050202	
20050202	墨水球2提示	200501	2	7		40000	1	Boss_hitArea_warning						200					500	500								20050203			
20050203	墨水球地面2	200501	2	7		40000	1	Unit_hitArea_ink						133					500	3000	1						20050201				
20050301	墨水球3	200501	2	2	100000		1	Unit_cast_InkBall						167	100000	8000	50000	35000			0									20050302	
20050302	墨水球3提示	200501	2	7		50000	1	Boss_hitArea_warning						250					500	500								20050303			
20050303	墨水球地面3	200501	2	7		50000	1	Unit_hitArea_ink						167					500	3000	1						20050301				
20050401	墨水球(貂蝉)1	200501	2	2	60000		1	Unit_cast_InkBall						100	100000	8000	50000	35000			0							20050402			
20050402	墨水球(貂蝉)地面1	200501	2	7		30000	1	Unit_hitArea_ink02						100					10000	10000	1	1	500				20050401				
20050501	墨水球(貂蝉)2	200501	2	2	80000		1	Unit_cast_InkBall						133	100000	8000	50000	35000			0							20050502			
20050502	墨水球(貂蝉)地面2	200501	2	7		40000	1	Unit_hitArea_ink02						133					10000	10000	1	1	500				20050501				
20050601	墨水球(貂蝉)3	200501	2	2	100000		1	Unit_cast_InkBall						167	100000	8000	50000	35000			0							20050602			
20050602	墨水球(貂蝉)地面3	200501	2	7		50000	1	Unit_hitArea_ink02						167					10000	10000	1	1	500				20050601				
20060101	恶魔球1	200601	2	5	60000	180	1	Unit_Release_Devil						133					1000	1200	1						20060101				
20060201	恶魔球2	200601	2	5	80000	180	1	Unit_Release_Devil						150					1000	1200	1						20060201				
20060301	恶魔球3	200601	2	5	100000	180	1	Unit_Release_Devil						167					1000	1200	1						20060301				
20060401	恶魔球（草泥马）1	200601	2	5	50000	360	2	Unit_Release_Devil02						100					1000	1200	1						20060401				
20060501	恶魔球（草泥马）2	200601	2	5	70000	360	2	Unit_Release_Devil02						116					1000	1200	1						20060501				
20060601	恶魔球（草泥马）3	200601	2	5	90000	360	2	Unit_Release_Devil02						133					1000	1200	1						20060601				
20070101	暴风雪11	200701	2	7		20000	1	Boss_hitArea_warning						100					1000	1000										20070102	
20070102	暴风雪12	200701	2	7		20000	1	Unit_Area_blizzard						100					5000	7000	1	1	500				20070101				
20070201	暴风雪21	200701	2	7		30000	1	Boss_hitArea_warning						150					1000	1000										20070202	
20070202	暴风雪22	200701	2	7		30000	1	Unit_Area_blizzard						150					5000	7000	1	1	500				20070201				
20070301	暴风雪31	200701	2	7		40000	1	Boss_hitArea_warning						200					1000	1000										20070302	
20070302	暴风雪32	200701	2	7		40000	1	Unit_Area_blizzard						200					5000	7000	1	1	500				20070301				
20070401	暴风雪(紫霞)11	200701	2	7		20000	1	Boss_hitArea_warning						100					1000	1000										20070402	
20070402	暴风雪(紫霞)12	200701	2	7		20000	1	Unit_hitArea_fireMeteors						100					5000	6000	1	1	500				20070401				
20070501	暴风雪(紫霞)21	200701	2	7		30000	1	Boss_hitArea_warning						150					1000	1000										20070502	
20070502	暴风雪(紫霞)22	200701	2	7		30000	1	Unit_hitArea_fireMeteors						150					5000	6000	1	1	500				20070501				
20070601	暴风雪(紫霞)31	200701	2	7		40000	1	Boss_hitArea_warning						200					1000	1000										20070602	
20070602	暴风雪(紫霞)32	200701	2	7		40000	1	Unit_hitArea_fireMeteors						200					5000	6000	1	1	500				20070601				
20080101	龙卷风1	200801	2	1	80000	20000	1	Unit_cast_tornado						100	120000	0	0	0			1						20080101				
20080201	龙卷风2	200801	2	1	120000	26000	1	Unit_cast_tornado						130	120000	0	0	0			1						20080201				
20080301	龙卷风3	200801	2	1	160000	32000	1	Unit_cast_tornado						160	120000	0	0	0			1						20080301				
20080401	龙卷风(吕布)1	200801	2	7		25000	1							100					2000	2000	1						20080401			20080402	
20080402	龙卷风(吕布)1	200801	2	7		25000	1	Unit_Release_tornado						100					2000	2500	1	1	500				20080402				
20080501	龙卷风(吕布)2	200801	2	7		32500	1							130					2000	2000	1						20080501			20080502	
20080502	龙卷风(吕布)2	200801	2	7		32500	1	Unit_Release_tornado						130					2000	2500	1	1	500				20080502				
20080601	龙卷风(吕布)3	200801	2	7		40000	1							160					2000	2000	1						20080601			20080602	
20080602	龙卷风(吕布)3	200801	2	7		40000	1	Unit_Release_tornado						160					2000	2500	1	1	500				20080602				
20080701	龙卷风（龙宝宝）1	200801	2	7		40000	2							100					500	500	1						20080701			20080702	
20080702	龙卷风（龙宝宝）1	200801	2	7		40000	2	Unit_hitArea_recover						100					5000	6000	3	1	500				20080702				
20080801	龙卷风（龙宝宝）2	200801	2	7		50000	2							125					500	500	1						20080801			20080802	
20080802	龙卷风（龙宝宝）2	200801	2	7		50000	2	Unit_hitArea_recover						125					5000	6000	3	1	500				20080802				
20080901	龙卷风（龙宝宝）3	200801	2	7		60000	2							150					500	500	1						20080901			20080902	
20080902	龙卷风（龙宝宝）3	200801	2	7		60000	2	Unit_hitArea_recover						150					5000	6000	3	1	500				20080902				
20090101	陨石球1	200901	2	7			1	Unit_Release_meteorite						150					2000	2500	0							20090102			
20090102	陨石球地面1	200901	2	7		30000	1	Unit_hit_meteorite						150					500	2000	1			1			20090101				
20090201	陨石球2	200901	2	7			1	Unit_Release_meteorite						180					2000	2500	0							20090202			
20090202	陨石球地面2	200901	2	7		36000	1	Unit_hit_meteorite						180					500	2000	1			1			20090201				
20090301	陨石球3	200901	2	7			1	Unit_Release_meteorite						210					2000	2500	0							20090302			
20090302	陨石球地面3	200901	2	7		42000	1	Unit_hit_meteorite						210					500	2000	1			1			20090301				
20090401	陨石球(武则天)1	200901	2	7		30000	1	Unit_Release_meteorite02						150					2000	2500	1	1	500				20090401	20090402			
20090402	陨石球(武则天)地面1	200901	2	7		30000	1	Unit_hit_meteorite						150					500	2000	1			1			20090402				
20090501	陨石球(武则天)2	200901	2	7		35000	1	Unit_Release_meteorite02						175					2000	2500	1	1	500				20090501	20090502			
20090502	陨石球(武则天)地面2	200901	2	7		35000	1	Unit_hit_meteorite						175					500	2000	1			1			20090502				
20090601	陨石球(武则天)3	200901	2	7		40000	1	Unit_Release_meteorite02						200					2000	2500	1	1	500				20090601	20090602			
20090602	陨石球(武则天)地面3	200901	2	7		40000	1	Unit_hit_meteorite						200					500	2000	1			1			20090602				
20100101	定时炸弹1	201001	2	2	60000		1	Unit_cast_TNT						100	100000	8000	50000	35000			0							20100102			
20100102	定时炸弹地面1	201001	2	7			1	Unit_hitArea_TNT						100					2000	2000	0							20100103			
20100103	定时炸弹爆炸1	201001	2	7		30000	1	Unit_hitArea_explode02						100					500	2000	1						20100101				
20100201	定时炸弹2	201001	2	2	80000		1	Unit_cast_TNT						133	100000	8000	50000	35000			0							20100202			
20100202	定时炸弹地面2	201001	2	7			1	Unit_hitArea_TNT						133					2000	2000	0							20100203			
20100203	定时炸弹爆炸2	201001	2	7		40000	1	Unit_hitArea_explode02						133					500	2000	1						20100201				
20100301	定时炸弹3	201001	2	2	100000		1	Unit_cast_TNT						167	100000	8000	50000	35000			0							20100302			
20100302	定时炸弹地面3	201001	2	7			1	Unit_hitArea_TNT						167					2000	2000	0							20100303			
20100303	定时炸弹爆炸3	201001	2	7		50000	1	Unit_hitArea_explode02						167					500	2000	1						20100301				
20100401	定时炸弹(周瑜)1	201001	2	2	60000		1	Unit_cast_TNT02						100	100000	8000	50000	35000			0							20100402			
20100402	定时炸弹(周瑜)爆炸1	201001	2	7		30000	1	Unit_hitArea_explode02						100					500	2000	1						20100401				
20100501	定时炸弹(周瑜)2	201001	2	2	80000		1	Unit_cast_TNT02						120	100000	8000	50000	35000			0							20100502			
20100502	定时炸弹(周瑜)爆炸2	201001	2	7		36000	1	Unit_hitArea_explode02						120					500	2000	1						20100501				
20100601	定时炸弹(周瑜)3	201001	2	2	100000		1	Unit_cast_TNT02						140	100000	8000	50000	35000			0							20100602			
20100602	定时炸弹(周瑜)爆炸3	201001	2	7		42000	1	Unit_hitArea_explode02						140					500	2000	1						20100601				
20100701	定时炸弹(战狼)1	201001	2	1	60000	10000	1	Unit_cast_TNT	Unit_hitArea_TNT02	1	Unit_hitArea_TNT02	1		100	150000	8000	10000	7000			1										20100702
20100702	定时炸弹(战狼)地面1	201001	2	10			1	Unit_hit_TNT						100					2000	2000	0							20100703			
20100703	定时炸弹(战狼)爆炸1	201001	2	7		30000	1	Unit_hitArea_explode02						100					500	2000	1						20100701				
20100801	定时炸弹(战狼)2	201001	2	1	80000	15000	1	Unit_cast_TNT	Unit_hitArea_TNT02	1	Unit_hitArea_TNT02	1		133	150000	8000	10000	7000			1										20100802
20100802	定时炸弹(战狼)地面2	201001	2	10			1	Unit_hit_TNT						133					2000	2000	0							20100803			
20100803	定时炸弹(战狼)爆炸2	201001	2	7		40000	1	Unit_hitArea_explode02						133					500	2000	1						20100801				
20100901	定时炸弹(战狼)3	201001	2	1	100000	20000	1	Unit_cast_TNT	Unit_hitArea_TNT02	1	Unit_hitArea_TNT02	1		167	150000	8000	10000	7000			1										20100902
20100902	定时炸弹(战狼)地面3	201001	2	10			1	Unit_hit_TNT						167					2000	2000	0							20100903			
20100903	定时炸弹(战狼)爆炸3	201001	2	7		50000	1	Unit_hitArea_explode02						167					500	2000	1						20100901				
20110101	隐身1	201101	2	8			2	Unit_Release_cloaking						100						5000	0						20110101				
20110201	隐身2	201101	2	8			2	Unit_Release_cloaking						100						7500	0						20110201				
20110301	隐身3	201101	2	8			2	Unit_Release_cloaking						100						10000	0						20110301				
20110401	隐身(嫦娥)1	201101	2	8			2	Unit_Release_cloaking						100						5000	0						20110401				
20110501	隐身(嫦娥)2	201101	2	8			2	Unit_Release_cloaking						100						7500	0						20110501				
20110601	隐身(嫦娥)3	201101	2	8			2	Unit_Release_cloaking						100						10000	0						20110601				
30020101	冲锋	300201	2	8			2	Unit_DebuffLoop_SpeedUp						100					2000	2000	0						30020101				
40010101	BOSS冰锥地面	400101	2	7			2	Boss_hitArea_warning						100					1000	1500	1							40010102			
40010102	BOSS冰锥	400101	2	7		20000	2	Boss_hitArea_icicle						100					500	2000	1						40010101				
40020101	BOSS滚冰块	400201	2	1	100000	40000	2	Boss_cast_IceBall	Boss_hit_IceBall					100	50000	0	0	0			2						40020101				
40030101	BOSS拍地地面	400301	2	7		60000	2	Boss_hitArea_warning						300					500	500										40030102	
40030102	BOSS拍地1	400301	2	7		60000	2	Boss_hitArea_IceExplode02						100					500	1000	1						40030101	40030103			
40030103	BOSS拍地地面	400301	2	7		60000	2	Boss_hitArea_warning						300					500	500										40030104	
40030104	BOSS拍地2	400301	2	7		60000	2	Boss_hitArea_IceExplode02						100					800	1000	1						40030102	40030105			
40030105	BOSS拍地地面	400301	2	7		80000	2	Boss_hitArea_warning						400					500	500										40030106	
40030106	BOSS拍地3	400301	2	7		80000	2	Boss_hitArea_IceExplode02						133					500	1500	1			1			40030103				
