INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
id	id	id	id	id	id	id	id	id	id
10010101	普攻攻击	Unit_hit_Snowball	1	40	0				
20020101	冰棍1	Unit_hit_Snowball	1	0	160				1002
20020201	冰棍2	Unit_hit_Snowball	1	0	320				1002
20020301	冰棍3	Unit_hit_Snowball	1	0	480				1002
20020401	冰棍(甄姬)1	Unit_hit_Snowball	1	0	160				1002
20020501	冰棍(甄姬)2	Unit_hit_Snowball	1	0	320				1002
20020601	冰棍(甄姬)3	Unit_hit_Snowball	1	0	480				1002
20030101	雷电球1	Unit_hit_LightningBall	1	0	160				1003
20030201	雷电球2	Unit_hit_LightningBall	1	0	320				1003
20030301	雷电球3	Unit_hit_LightningBall	1	0	480				1003
20030401	雷电球(悟空)1	Unit_hit_LightningBall	1	0	160				2005
20030501	雷电球(悟空)2	Unit_hit_LightningBall	1	0	320				2005
20030601	雷电球(悟空)3	Unit_hit_LightningBall	1	0	480				2005
20040101	大雪球1		1	0	240				
20040201	大雪球2		1	0	480				
20040301	大雪球3		1	0	720				
20040401	大雪球(黄盖)1		1	0	240				
20040501	大雪球(黄盖)2		1	0	480				
20040601	大雪球(黄盖)3		1	0	720				
20050101	墨水球1	Unit_hit_ink	1	0	160				1005
20050201	墨水球2	Unit_hit_ink	1	0	320				1005
20050301	墨水球3	Unit_hit_ink	1	0	480				1005
20050401	墨水球(貂蝉)1		1	0	80				1005
20050501	墨水球(貂蝉)2		1	0	160				1005
20050601	墨水球(貂蝉)3		1	0	240				1005
20060101	恶魔球1		1	0	160				1006
20060201	恶魔球2		1	0	320				1006
20060301	恶魔球3		1	0	480				1006
20060401	恶魔球（草泥马）1		1	0	160				1006
20060501	恶魔球（草泥马）2		1	0	320				1006
20060601	恶魔球（草泥马）3		1	0	480				1006
20070101	暴风雪1		1	0	80				2001
20070201	暴风雪2		1	0	160				2001
20070301	暴风雪3		1	0	240				2001
20070401	暴风雪(紫霞)1		1	0	100				1008
20070501	暴风雪(紫霞)2		1	0	200				1008
20070601	暴风雪(紫霞)3		1	0	300				1008
20080101	龙卷风1		1	0	160	1	50000	60000	
20080201	龙卷风2		1	0	320	1	100000	60000	
20080301	龙卷风3		1	0	480	1	150000	60000	
20080401	龙卷风(吕布)1		1	0	160	2		100000	
20080402	龙卷风(吕布)1		1	0	40				1007
20080501	龙卷风(吕布)2		1	0	320	2		100000	
20080502	龙卷风(吕布)2		1	0	80				1007
20080601	龙卷风(吕布)3		1	0	480	2		100000	
20080602	龙卷风(吕布)3		1	0	120				1007
20080701	龙卷风（龙宝宝）1		1	0	200	3		200000	
20080702	龙卷风（龙宝宝）1	Unit_buff_recover	2	0	50				
20080801	龙卷风（龙宝宝）2		1	0	400	3		200000	
20080802	龙卷风（龙宝宝）2	Unit_buff_recover	2	0	100				
20080901	龙卷风（龙宝宝）3		1	0	600	3		200000	
20080902	龙卷风（龙宝宝）3	Unit_buff_recover	2	0	150				
20090101	陨石球1		1	0	99999				
20090201	陨石球2		1	0	99999				
20090301	陨石球3		1	0	99999				
20090401	陨石球(武则天)1		1	0	40				1007
20090402	陨石球(武则天)地面1		1	0	99999				
20090501	陨石球(武则天)2		1	0	80				1007
20090502	陨石球(武则天)地面2		1	0	99999				
20090601	陨石球(武则天)3		1	0	120				1007
20090602	陨石球(武则天)地面3		1	0	99999				
20100101	定时炸弹1		1	0	300				
20100201	定时炸弹2		1	0	600				
20100301	定时炸弹3		1	0	900				
20100401	定时炸弹(周瑜)1		1	0	240				1008
20100501	定时炸弹(周瑜)2		1	0	480				1008
20100601	定时炸弹(周瑜)3		1	0	720				1008
20100701	定时炸弹(战狼)1		1	0	300				
20100801	定时炸弹(战狼)2		1	0	600				
20100901	定时炸弹(战狼)3		1	0	900				
20110101	隐身1		1	0	0				3003
20110201	隐身2		1	0	0				3003
20110301	隐身3		1	0	0				3003
20110401	隐身(嫦娥)1		1	0	0				3004
20110501	隐身(嫦娥)2		1	0	0				3005
20110601	隐身(嫦娥)3		1	0	0				3006
30020101	冲锋		1	0	0				1009
40010101	BOSS普攻	Unit_hit_Snowball	1	20	0				
40020101	BOSS技能1		1	30	0				
40030101	BOSS技能2-1		1	30	0				
40030102	BOSS技能2-2		1	30	0				
40030103	BOSS技能2-3		1	40	0				2005
